imdb_id,title,type,rated,Year,runtime,genre,actors,language,country,imdb_rating,imdb_votes
tt7979492,Kim Possible,movie,TV-G,2019,86 min,"Action, Adventure, Comedy","Sadie Stanley, Sean Giambrone, Ciara Riley Wilson, Todd Stashwick",English,USA,3.6,"2,030"
tt1090750,Dadnapped,movie,TV-G,2009,84 min,"Action, Adventure, Comedy, Crime, Family","Emily Osment, David Henrie, Jason Earles, Jonathan Keltz",English,USA,4.9,"2,634"
tt0076137,Herbie Goes to Monte Carlo,movie,G,1977,105 min,"Action, Adventure, Comedy, Crime, Family, Romance, Sport","Dean Jones, Don Knotts, Julie Sommars, Jacques Marin","English, French",USA,5.7,"6,553"
tt0141369,Inspector Gadget,movie,PG,1999,78 min,"Action, Adventure, Comedy, Crime, Family, Sci-Fi","Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg","English, Norwegian, French, Spanish",USA,4.1,"43,808"
tt2788732,Pete's Dragon,movie,PG,2016,102 min,"Action, Adventure, Comedy, Drama, Family, Fantasy","Bryce Dallas Howard, Robert Redford, Oakes Fegley, Oona Laurence",English,USA,6.7,"52,020"
tt0114048,Operation Dumbo Drop,movie,PG,1995,107 min,"Action, Adventure, Comedy, Drama, Family, War","Danny Glover, Ray Liotta, Denis Leary, Doug E. Doug","English, Vietnamese",USA,5.1,"8,265"
tt1181917,The Suite Life on Deck,series,TV-G,2008,30 min,"Action, Adventure, Comedy, Family","Dylan Sprouse, Cole Sprouse, Brenda Song, Debby Ryan",English,USA,6.3,"14,716"
tt0436339,G-Force,movie,PG,2009,88 min,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner","Spanish, English",USA,5.1,"41,151"
tt2326087,Girl Vs. Monster,movie,TV-PG,2012,89 min,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi","Olivia Holt, Kerris Dorsey, Brendan Meyer, Katherine McNamara",English,"USA, Canada",5.5,"2,403"
tt0117110,Muppet Treasure Island,movie,G,1996,99 min,"Action, Adventure, Comedy, Family, Musical, Romance","Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop",English,USA,7.0,"20,293"
