imdb_id,title,type,rated,Year,runtime,genre,actors,language,country,imdb_rating,imdb_votes
tt0119190,George of the Jungle,movie,PG,1997,92 min,"Action, Adventure, Comedy, Family, Romance","Brendan Fraser, Leslie Mann, Thomas Haden Church, Richard Roundtree","English, Spanish",USA,5.4,"68,409"
tt0108333,The Three Musketeers,movie,PG,1993,105 min,"Action, Adventure, Comedy, Family, Romance","Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt",English,"Austria, UK, USA",6.4,"48,683"
tt0061333,The Adventures of Bullwhip Griffin,movie,APPROVED,1967,108 min,"Action, Adventure, Comedy, Family, Romance, Western","Roddy McDowall, Suzanne Pleshette, Karl Malden, Harry Guardino",English,USA,6.6,603
tt0119310,"Honey, We Shrunk Ourselves!",movie,PG,1997,74 min,"Action, Adventure, Comedy, Family, Sci-Fi","Rick Moranis, Eve Gordon, Bug Hall, Robin Bartlett",English,USA,5.0,"12,439"
tt0327437,Around the World in 80 Days,movie,PG,2004,120 min,"Action, Adventure, Comedy, Family, Western","Jackie Chan, Steve Coogan, CÃ©cile de France, Robert Fyfe","English, Cantonese, French, German, Hindi, Turkish","USA, Germany, Ireland, UK",5.9,"82,011"
tt3501632,Thor: Ragnarok,movie,PG-13,2017,130 min,"Action, Adventure, Comedy, Fantasy, Sci-Fi","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba",English,USA,7.9,"542,938"
tt2015381,Guardians of the Galaxy,movie,PG-13,2014,121 min,"Action, Adventure, Comedy, Sci-Fi","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",English,USA,8.0,"1,007,917"
tt3896198,Guardians of the Galaxy Vol. 2,movie,PG-13,2017,136 min,"Action, Adventure, Comedy, Sci-Fi","Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",English,USA,7.6,"537,920"
tt0478970,Ant-Man,movie,PG-13,2015,117 min,"Action, Adventure, Comedy, Sci-Fi","Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",English,USA,7.3,"540,523"
tt2762970,Cloud 9,movie,TV-G,2014,85 min,"Action, Adventure, Drama, Family, Sport","Luke Benward, Dove Cameron, Mike C. Manning, Kiersey Clemons",English,USA,6.6,"3,482"
tt0096446,Willow,movie,PG,1988,126 min,"Action, Adventure, Drama, Fantasy, Romance","Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh",English,USA,7.3,"97,309"
tt4154796,Avengers: Endgame,movie,PG-13,2019,181 min,"Action, Adventure, Drama, Sci-Fi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","English, Japanese, Xhosa, German",USA,8.4,"694,527"
tt0273842,Motocrossed,movie,TV-G,2001,110 min,"Action, Adventure, Family","Alana Austin, Riley Smith, Mary-Margaret Humes, Trever O'Brien",English,USA,6.6,"4,203"
tt0790781,Wendy Wu: Homecoming Warrior,movie,TV-PG,2006,91 min,"Action, Adventure, Family","Brenda Song, Shin Koyamada, Susan Chuang, Justin Chon","English, Mandarin, Cantonese",USA,5.4,"5,328"
tt0045197,The Story of Robin Hood and His Merrie Men,movie,APPROVED,1952,84 min,"Action, Adventure, Family","Richard Todd, Joan Rice, Peter Finch, James Hayter",English,UK,6.7,"1,281"
tt0499448,The Chronicles of Narnia: Prince Caspian,movie,PG,2008,150 min,"Action, Adventure, Family, Fantasy","Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley",English,"USA, Poland, Slovenia, Czech Republic, UK",6.5,"187,627"
tt5117876,Descendants 2,movie,TV-G,2017,111 min,"Action, Adventure, Family, Fantasy, Romance","Dove Cameron, Cameron Boyce, Sofia Carson, Booboo Stewart",English,USA,6.5,"7,218"
tt0120751,Mighty Joe Young,movie,PG,1998,114 min,"Action, Adventure, Family, Fantasy, Thriller","Charlize Theron, Bill Paxton, Rade Serbedzija, Peter Firth","English, Swahili",USA,5.6,"26,795"
tt0465234,National Treasure: Book of Secrets,movie,PG,2007,124 min,"Action, Adventure, Family, Mystery, Thriller","Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight","English, French",USA,6.5,"212,576"
tt0102803,The Rocketeer,movie,PG,1991,108 min,"Action, Adventure, Family, Sci-Fi","Billy Campbell, Jennifer Connelly, Alan Arkin, Timothy Dalton","English, German",USA,6.5,"50,945"
tt0800369,Thor,movie,PG-13,2011,115 min,"Action, Adventure, Fantasy","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",English,USA,7.0,"717,145"
tt1981115,Thor: The Dark World,movie,PG-13,2013,112 min,"Action, Adventure, Fantasy","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",English,USA,6.9,"571,192"
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,movie,PG-13,2003,143 min,"Action, Adventure, Fantasy","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",English,USA,8.0,"992,127"
tt0449088,Pirates of the Caribbean: At World's End,movie,PG-13,2007,169 min,"Action, Adventure, Fantasy","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",English,USA,7.1,"577,465"
tt0383574,Pirates of the Caribbean: Dead Man's Chest,movie,PG-13,2006,151 min,"Action, Adventure, Fantasy","Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport","English, Turkish, Greek, Mandarin, French",USA,7.3,"635,041"
tt1298650,Pirates of the Caribbean: On Stranger Tides,movie,PG-13,2011,136 min,"Action, Adventure, Fantasy","Johnny Depp, PenÃ©lope Cruz, Geoffrey Rush, Ian McShane","English, Spanish","USA, UK",6.6,"465,510"
tt1211837,Doctor Strange,movie,PG-13,2016,115 min,"Action, Adventure, Fantasy, Sci-Fi","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",English,USA,7.5,"562,696"
tt0121765,Star Wars: Episode II - Attack of the Clones,movie,PG,2002,142 min,"Action, Adventure, Fantasy, Sci-Fi","Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",English,USA,6.5,"613,768"
tt0121766,Star Wars: Episode III - Revenge of the Sith,movie,PG-13,2005,140 min,"Action, Adventure, Fantasy, Sci-Fi","Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid",English,USA,7.5,"681,075"
tt0120915,Star Wars: Episode I - The Phantom Menace,movie,PG,1999,136 min,"Action, Adventure, Fantasy, Sci-Fi","Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",English,USA,6.5,"698,744"
tt2527336,Star Wars: Episode VIII - The Last Jedi,movie,PG-13,2017,152 min,"Action, Adventure, Fantasy, Sci-Fi","Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",English,USA,7.0,"532,835"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,movie,PG,1980,124 min,"Action, Adventure, Fantasy, Sci-Fi","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",English,USA,8.7,"1,109,656"
tt0086190,Star Wars: Episode VI - Return of the Jedi,movie,PG,1983,131 min,"Action, Adventure, Fantasy, Sci-Fi","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",English,USA,8.3,"912,250"
tt0076759,Star Wars: Episode IV - A New Hope,movie,PG,1977,121 min,"Action, Adventure, Fantasy, Sci-Fi","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",English,USA,8.6,"1,188,658"
tt0499549,Avatar,movie,PG-13,2009,162 min,"Action, Adventure, Fantasy, Sci-Fi","Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","English, Spanish",USA,7.8,"1,086,714"
tt0368891,National Treasure,movie,PG,2004,131 min,"Action, Adventure, Mystery, Thriller","Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean","English, Spanish",USA,6.8,"295,236"
tt4154858,Inhumans,series,TV-PG,2017,43 min,"Action, Adventure, Sci-Fi","Anson Mount, Serinda Swan, Ken Leung, Eme Ikwuakor",English,USA,5.0,"20,672"
tt4154664,Captain Marvel,movie,PG-13,2019,123 min,"Action, Adventure, Sci-Fi","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",English,"USA, Australia",6.9,"406,778"
tt1825683,Black Panther,movie,PG-13,2018,134 min,"Action, Adventure, Sci-Fi","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","English, Swahili, Nama, Xhosa, Korean",USA,7.3,"579,293"
tt0458339,Captain America: The First Avenger,movie,PG-13,2011,124 min,"Action, Adventure, Sci-Fi","Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones","English, Norwegian, French",USA,6.9,"711,603"
tt3498820,Captain America: Civil War,movie,PG-13,2016,147 min,"Action, Adventure, Sci-Fi","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","English, German, Xhosa, Russian, Romanian, Hindi",USA,7.8,"628,016"
tt3748528,Rogue One: A Star Wars Story,movie,PG-13,2016,133 min,"Action, Adventure, Sci-Fi","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",English,USA,7.8,"526,836"
tt2488496,Star Wars: Episode VII - The Force Awakens,movie,PG-13,2015,138 min,"Action, Adventure, Sci-Fi","Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",English,USA,7.9,"833,706"
tt3475734,Agent Carter,series,TV-PG,2015,42 min,"Action, Adventure, Sci-Fi","Hayley Atwell, James D'Arcy, Enver Gjokaj, Chad Michael Murray",English,USA,7.9,"69,458"
tt0084827,TRON,movie,PG,1982,96 min,"Action, Adventure, Sci-Fi","Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan",English,USA,6.8,"110,110"
tt1104001,TRON: Legacy,movie,PG,2010,125 min,"Action, Adventure, Sci-Fi","Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",English,USA,6.8,"306,175"
tt8111088,The Mandalorian,series,TV-PG,2019,30 min,"Action, Adventure, Sci-Fi","Pedro Pascal, Carl Weathers, Rio Hackford, Gina Carano",English,USA,8.7,"157,153"
tt0848228,The Avengers,movie,PG-13,2012,143 min,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","English, Russian, Hindi",USA,8.0,"1,225,316"
tt2395427,Avengers: Age of Ultron,movie,PG-13,2015,141 min,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","English, Korean",USA,7.3,"711,205"
tt1300854,Iron Man 3,movie,PG-13,2013,130 min,"Action, Adventure, Sci-Fi","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",English,USA,7.2,"730,917"
tt1228705,Iron Man 2,movie,PG-13,2010,124 min,"Action, Adventure, Sci-Fi","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson","English, French, Russian",USA,7.0,"693,517"
tt0371746,Iron Man,movie,PG-13,2008,126 min,"Action, Adventure, Sci-Fi","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow","Hungarian, Kurdish, Hindi, English, Persian, Urdu, Arabic",USA,7.9,"910,300"
tt0401729,John Carter,movie,PG-13,2012,132 min,"Action, Adventure, Sci-Fi","Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",English,USA,6.6,"248,903"
tt1843866,Captain America: The Winter Soldier,movie,PG-13,2014,136 min,"Action, Adventure, Sci-Fi, Thriller","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford","English, French",USA,7.7,"706,555"
tt0120317,That Darn Cat,movie,PG,1997,89 min,"Action, Comedy, Crime, Family, Mystery","Christina Ricci, Doug E. Doug, Dean Jones, George Dzundza",English,USA,4.7,"3,952"
tt0301454,Inspector Gadget 2,movie,G,2003,89 min,"Action, Comedy, Crime, Family, Sci-Fi","French Stewart, Elaine Hendrix, Tony Martin, Caitlin Wachs",English,USA,3.4,"5,423"
tt1765622,Kickin' It,series,TV-Y7,2011,22 min,"Action, Comedy, Family","Leo Howard, Dylan Riley Snyder, Mateo Arias, Jason Earles",English,USA,6.3,"4,372"
tt3598030,K.C. Undercover,series,TV-Y7,2015,30 min,"Action, Comedy, Family","Zendaya, Veronica Dunne, Kamil McFadden, Trinitee",English,USA,6.1,"2,979"
tt0266850,Phantom of the Megaplex,movie,TV-G,2000,89 min,"Action, Comedy, Family, Mystery","Taylor Handley, Corinne Bohrer, Caitlin Wachs, Jacob Smith",English,"USA, Canada",6.5,"2,570"
tt2025690,The Finest Hours,movie,PG-13,2016,117 min,"Action, Drama, History, Thriller","Chris Pine, Casey Affleck, Ben Foster, Eric Bana",English,USA,6.8,"59,000"
tt0485985,Red Tails,movie,PG-13,2012,125 min,"Action, Drama, History, War","Terrence Howard, Cuba Gooding Jr., Nate Parker, David Oyelowo","English, Italian, German",USA,5.9,"32,647"
tt1236246,Runaways,series,TV-14,2017,60 min,"Action, Drama, Sci-Fi","Rhenzy Feliz, Lyrica Okano, Virginia Gardner, Ariela Barer",English,USA,7.0,"20,241"
tt0207120,Spider-Man Unlimited,series,TV-Y7,1999,22 min,"Action, Family, Adventure, Animation, Thriller, Crime, Sci-Fi","Rino Romano, Kathleen Barr, Paul Dobson, Akiko Morison",English,"USA, Canada",6.4,"2,517"
tt0078869,The Black Hole,movie,PG,1979,98 min,"Action, Sci-Fi","Maximilian Schell, Anthony Perkins, Robert Forster, Joseph Bottoms",English,USA,6.0,"22,422"
tt6244108,Continent 7: Antarctica,series,N/A,2016,47 min,Adventure,Chris Browning,English,USA,7.5,93
tt1836776,The Prince and the Pauper,movie,TV-PG,1981,93 min,Adventure,"Sean Scully, Guy Williams, Jane Asher, Paul Rogers",English,UK,6.2,33
tt0033124,Swiss Family Robinson,movie,N/A,1940,93 min,Adventure,"Thomas Mitchell, Edna Best, Freddie Bartholomew, Terry Kilburn",English,USA,6.5,324
tt0056441,"Sammy, the Way-Out Seal: Part 1",episode,UNRATED,1962,89 min,"Adventure, Biography, Drama","Jack Carson, Robert Culp, Patricia Barry, Elisabeth Fraser",English,USA,6.5,140
tt0090803,Casebusters,episode,UNRATED,1986,120 min,"Adventure, Biography, Drama","Pat Hingle, Noah Hathaway, Virginya Keehne, Gary Riley",English,USA,5.9,50
tt0166829,The Sultan and the Rock Star,episode,UNRATED,1980,60 min,"Adventure, Biography, Drama","Timothy Hutton, Bruce Glover, Vince Lauria, Ned Romero",English,USA,7.1,12
tt0561332,The Plausible Impossible,episode,UNRATED,1956,50 min,"Adventure, Biography, Drama","Walt Disney, Leopold Stokowski",English,USA,8.1,14
tt5116302,Togo,movie,PG,2019,113 min,"Adventure, Biography, Drama, Family, History","Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer",English,USA,8.1,"24,630"
tt0064705,"My Dog, the Thief: Part 1",episode,N/A,1969,88 min,"Adventure, Biography, Drama, Family, Western","Dwayne Hickman, Mary Ann Mobley, Elsa Lanchester, Joe Flynn",English,USA,6.6,77
tt1754799,The Suite Life Movie,movie,Not Rated,2011,79 min,"Adventure, Comedy, Crime, Drama, Family, Sci-Fi","Cole Sprouse, Dylan Sprouse, Brenda Song, Debby Ryan",English,USA,5.3,"3,051"
tt0115433,101 Dalmatians,movie,G,1996,103 min,"Adventure, Comedy, Crime, Family","Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright","English, Spanish","USA, UK",5.7,"97,785"
tt0082474,The Great Muppet Caper,movie,G,1981,97 min,"Adventure, Comedy, Crime, Family, Musical, Mystery","Jim Henson, Frank Oz, Dave Goelz, Jerry Nelson",English,"UK, USA",7.2,"12,993"
tt2281587,Muppets Most Wanted,movie,PG,2014,107 min,"Adventure, Comedy, Crime, Family, Musical, Mystery","Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire","English, German",USA,6.4,"30,336"
tt0075807,Candleshoe,movie,G,1977,101 min,"Adventure, Comedy, Drama, Family","David Niven, Helen Hayes, Jodie Foster, Leo McKern",English,"UK, USA",6.8,"3,479"
tt0107131,Homeward Bound: The Incredible Journey,movie,G,1993,84 min,"Adventure, Comedy, Drama, Family","Don Alder, Ed Bernard, Kevin Chevalia, Anne Christianson",English,USA,6.9,"40,421"
tt0106223,The Adventures of Huck Finn,movie,PG,1993,108 min,"Adventure, Comedy, Drama, Family","Elijah Wood, Courtney B. Vance, Robbie Coltrane, Jason Robards","English, French",USA,6.2,"7,451"
tt0997047,College Road Trip,movie,G,2008,83 min,"Adventure, Comedy, Drama, Family","Martin Lawrence, Raven-SymonÃ©, Kym Whitley, Adam LeFevre",English,USA,4.3,"14,974"
tt0799922,Wizards of Waverly Place,series,TV-G,2007,22 min,"Adventure, Comedy, Drama, Family, Fantasy","Selena Gomez, David Henrie, Jake T. Austin, Jennifer Stone",English,USA,6.8,"27,826"
tt1369845,Wizards of Waverly Place: The Movie,movie,TV-G,2009,94 min,"Adventure, Comedy, Drama, Family, Fantasy","Selena Gomez, David Henrie, Jake T. Austin, Jennifer Stone",English,USA,6.2,"14,540"
tt2448374,The Wizards Return: Alex vs. Alex,movie,TV-G,2013,60 min,"Adventure, Comedy, Drama, Family, Fantasy","Selena Gomez, Jake T. Austin, Jennifer Stone, Gregg Sulkin","English, Italian",USA,6.5,"4,934"
tt6820324,Timmy Failure: Mistakes Were Made,movie,PG,2020,99 min,"Adventure, Comedy, Drama, Family, Fantasy","Winslow Fegley, Ophelia Lovibond, Wallace Shawn, Craig Robinson",English,USA,6.1,"1,300"
tt0274636,The Luck of the Irish,movie,TV-G,2001,86 min,"Adventure, Comedy, Drama, Family, Fantasy, Sport","Ryan Merriman, Henry Gibson, Alexis Lopez, Glenndon Chatman",English,USA,6.2,"6,337"
tt8096832,Lady and the Tramp,movie,PG,2019,103 min,"Adventure, Comedy, Drama, Family, Musical, Romance","Tessa Thompson, Justin Theroux, Sam Elliott, Ashley Jensen",English,USA,6.3,"12,134"
tt0311289,Holes,movie,PG,2003,117 min,"Adventure, Comedy, Drama, Family, Mystery","Sigourney Weaver, Jon Voight, Tim Blake Nelson, Shia LaBeouf",English,USA,7.0,"74,143"
tt0120783,The Parent Trap,movie,PG,1998,128 min,"Adventure, Comedy, Drama, Family, Romance","Lindsay Lohan, Dennis Quaid, Natasha Richardson, Elaine Hendrix","English, French","USA, UK",6.5,"114,898"
tt0112302,Tom and Huck,movie,PG,1995,97 min,"Adventure, Comedy, Drama, Family, Romance, Western","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",English,USA,5.5,"9,519"
tt0049125,Davy Crockett and the River Pirates,movie,APPROVED,1956,81 min,"Adventure, Comedy, Drama, Family, Western","Fess Parker, Buddy Ebsen, Jeff York, Kenneth Tobey",English,USA,6.8,"1,585"
tt0286639,Fuzzbucket,movie,N/A,1986,46 min,"Adventure, Comedy, Family","Chris Hebert, Phil Fondacaro, Joe Regalbuto, Wendy Phillips",English,USA,7.6,155
tt0322389,George of the Jungle 2,movie,PG,2003,87 min,"Adventure, Comedy, Family","Christopher Showerman, Julie Benz, Angus T. Jones, Thomas Haden Church",English,"USA, Australia",3.3,"6,039"
tt0211181,102 Dalmatians,movie,G,2000,100 min,"Adventure, Comedy, Family","Glenn Close, GÃ©rard Depardieu, Ioan Gruffudd, Alice Evans",English,"USA, UK",4.9,"33,444"
tt0109369,Camp Nowhere,movie,PG,1994,96 min,"Adventure, Comedy, Family","John Putch, Peter Scolari, Romy Windsor, Jonathan Jackson",English,USA,6.1,"8,448"
tt3856042,Bad Hair Day,movie,TV-G,2015,87 min,"Adventure, Comedy, Family","Laura Marano, Leigh-Allyn Baker, Christian Campbell, Alain Goulem",English,Canada,6.0,"2,363"
tt4456850,Adventures in Babysitting,movie,TV-G,2016,105 min,"Adventure, Comedy, Family","Sabrina Carpenter, Sofia Carson, Nikki Hahn, Mallory James Mahoney",English,USA,6.0,"2,582"
tt0080861,Herbie Goes Bananas,movie,G,1980,100 min,"Adventure, Comedy, Family, Fantasy","Cloris Leachman, Charles Martin Smith, John Vernon, Stephen W. Burns","English, Spanish",USA,5.0,"4,958"
tt0173886,Halloweentown,movie,TV-G,1998,84 min,"Adventure, Comedy, Family, Fantasy","Debbie Reynolds, Kimberly J. Brown, Judith Hoag, Joey Zimmerman",English,USA,6.8,"11,872"
tt4420110,Invisible Sister,movie,TV-G,2015,80 min,"Adventure, Comedy, Family, Fantasy","Rowan Blanchard, Paris Berelc, Karan Brar, Rachel Crow",English,USA,6.1,"2,240"
tt0452681,The Santa Clause 3: The Escape Clause,movie,G,2006,97 min,"Adventure, Comedy, Family, Fantasy","Tim Allen, Elizabeth Mitchell, Eric Lloyd, Judge Reinhold",English,"USA, Canada",4.7,"31,254"
tt0113538,A Kid in King Arthur's Court,movie,PG,1995,89 min,"Adventure, Comedy, Family, Fantasy, Romance","Thomas Ian Nicholas, Joss Ackland, Art Malik, Paloma Baeza",English,"USA, Hungary, UK",4.7,"5,479"
tt0400497,Herbie Fully Loaded,movie,G,2005,101 min,"Adventure, Comedy, Family, Fantasy, Romance, Sport","Lindsay Lohan, Michael Keaton, Matt Dillon, Breckin Meyer",English,USA,4.8,"43,653"
tt0106611,Cool Runnings,movie,PG,1993,98 min,"Adventure, Comedy, Family, History, Sport","Leon, Doug E. Doug, Rawle D. Lewis, Malik Yoba","English, German, Russian",USA,7.0,"88,123"
tt0306841,Lizzie McGuire,movie,PG,2003,94 min,"Adventure, Comedy, Family, Music, Romance","Hilary Duff, Adam Lamberg, Hallie Todd, Robert Carradine","English, Italian",USA,5.5,"34,463"
tt1204342,The Muppets,movie,PG,2011,103 min,"Adventure, Comedy, Family, Musical","Jason Segel, Amy Adams, Chris Cooper, Rashida Jones",English,USA,7.1,"84,999"
tt0079588,The Muppet Movie,movie,G,1979,95 min,"Adventure, Comedy, Family, Musical","Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt",English,"UK, USA",7.6,"31,198"
tt0116552,Homeward Bound II: Lost in San Francisco,movie,G,1996,88 min,"Adventure, Comedy, Family, Romance","Michael J. Fox, Sally Field, Ralph Waite, Al Michaels",English,USA,5.9,"13,127"
tt0104437,"Honey, I Blew Up the Kid",movie,PG,1992,89 min,"Adventure, Comedy, Family, Romance, Sci-Fi","Rick Moranis, Marcia Strassman, Robert Oliveri, Daniel Shalikar",English,USA,4.8,"39,775"
tt1072755,Minutemen,movie,TV-G,2008,98 min,"Adventure, Comedy, Family, Sci-Fi","Jason Dolley, Luke Benward, Nicholas Braun, Chelsea Kane",English,USA,5.8,"5,182"
tt0091059,Flight of the Navigator,movie,PG,1986,90 min,"Adventure, Comedy, Family, Sci-Fi","Joey Cramer, Paul Reubens, Cliff De Young, Veronica Cartwright",English,USA,6.9,"42,322"
tt0379060,Zenon: Z3,movie,TV-G,2004,81 min,"Adventure, Comedy, Family, Sci-Fi","Kirsten Storms, Lauren Maltby, Alyson Morgan, Stuart Pankin",English,USA,5.5,"2,339"
tt0186726,Zenon: Girl of the 21st Century,movie,TV-G,1999,97 min,"Adventure, Comedy, Family, Sci-Fi","Kirsten Storms, Raven-SymonÃ©, Stuart Pankin, Holly Fulger",English,USA,6.4,"6,378"
tt0340281,Phil of the Future,series,TV-G,2004,25 min,"Adventure, Comedy, Family, Sci-Fi","Raviv Ullman, Amy Bruckner, Craig Anton, Lise Simms",English,USA,7.0,"6,479"
tt0097523,"Honey, I Shrunk the Kids",movie,PG,1989,93 min,"Adventure, Comedy, Family, Sci-Fi","Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland",English,"USA, Mexico",6.3,"137,074"
tt5118450,Lab Rats: Elite Force,series,TV-Y7,2016,30 min,"Adventure, Comedy, Family, Sci-Fi","William Brent, Bradley Steven Perry, Jake Short, Paris Berelc",N/A,USA,6.4,837
tt0281373,Snow Dogs,movie,PG,2002,99 min,"Adventure, Comedy, Family, Sport","Cuba Gooding Jr., James Coburn, SisqÃ³, Nichelle Nichols",English,"Canada, USA",5.2,"24,563"
tt3816666,Running Wild with Bear Grylls,series,TV-14,2014,60 min,"Adventure, Comedy, Reality-TV, Talk-Show",Bear Grylls,English,USA,7.7,"2,122"
tt0103247,White Fang,movie,PG,1991,107 min,"Adventure, Drama","Jed, Klaus Maria Brandauer, Ethan Hawke, Seymour Cassel",English,USA,6.7,"18,897"
tt0057180,The Incredible Journey,movie,G,1963,80 min,"Adventure, Drama, Family","Ã‰mile Genest, John Drainie, Tommy Tweed, Sandra Scott",English,"Canada, USA",7.1,"3,702"
tt0397313,Eight Below,movie,PG,2006,120 min,"Adventure, Drama, Family","Paul Walker, Bruce Greenwood, Moon Bloodgood, Wendy Crewson",English,USA,7.3,"58,850"
tt0091566,Mr. Boogedy,episode,TV-PG,1986,46 min,"Adventure, Drama, Family","Richard Masur, Mimi Kennedy, Benji Gregory, David Faustino",English,USA,7.3,1173
tt0046672,"20,000 Leagues Under the Sea",movie,G,1955,127 min,"Adventure, Drama, Family, Fantasy, Sci-Fi","Kirk Douglas, James Mason, Paul Lukas, Peter Lorre",English,USA,7.2,"27,761"
tt0054307,The Sign of Zorro,movie,APPROVED,1960,91 min,"Adventure, Drama, Family, Romance, Western","Guy Williams, Henry Calvin, Gene Sheldon, Romney Brent",English,USA,7.1,645
tt0050798,Old Yeller,movie,APPROVED,1959,83 min,"Adventure, Drama, Family, Western","Dorothy McGuire, Fess Parker, Jeff York, Chuck Connors",English,USA,7.3,"11,270"
tt0047977,Davy Crockett: King of the Wild Frontier,movie,APPROVED,1955,93 min,"Adventure, Drama, Family, Western","Fess Parker, Buddy Ebsen, Basil Ruysdael, Hans Conried","English, Spanish",USA,7.0,"3,316"
